vl,pass_count,total,positive_universes,avg_sharpe,avg_ret,avg_dd,total_trades,base5_pass,base5_total,base5_avg_sharpe,base5_avg_ret
1,36,54,9,3.4765,138.84,35.68,765,5,6,5.6173,432.69
2,39,54,9,3.1831,109.61,36.69,749,5,6,5.3027,229.99
3,34,54,9,3.2735,137.11,37.50,736,4,6,4.4067,233.97
4,35,54,9,3.4678,135.78,36.38,730,4,6,4.6302,245.04
5,35,54,9,3.1276,108.83,36.36,732,5,6,4.4909,214.32
6,36,54,9,3.1587,112.25,35.94,728,5,6,4.7387,235.93
7,38,54,9,3.2400,105.83,35.39,721,5,6,4.9728,261.17
8,40,54,9,3.1471,105.33,35.41,721,6,6,5.4087,265.66
9,40,54,9,3.1119,102.44,35.81,715,6,6,5.7723,273.80
10,34,54,9,2.6858,97.79,36.28,713,4,6,5.5473,269.49
11,34,54,9,2.6197,98.61,36.30,714,4,6,5.6611,273.56
12,34,54,9,2.4599,97.23,37.43,718,4,6,5.2321,262.29
13,34,54,9,2.3860,93.58,37.56,719,4,6,5.2321,262.29
14,32,54,8,2.0718,88.83,38.21,719,4,6,4.7286,250.42
15,31,54,9,2.3064,85.84,37.68,714,4,6,4.3938,235.51
16,31,54,9,2.1361,84.65,37.75,717,4,6,4.3938,235.51
17,31,54,9,2.1610,84.55,37.66,714,4,6,4.4914,236.31
18,31,54,9,2.2612,86.79,36.91,709,4,6,4.4914,236.31
19,31,54,9,2.2092,86.74,36.94,710,4,6,4.4914,236.31
20,32,54,9,2.4418,91.43,36.93,712,4,6,4.1323,232.65
21,32,54,9,2.3914,89.92,37.06,711,4,6,4.0672,232.03
22,32,54,9,2.4440,91.39,37.26,710,4,6,4.0672,232.03
23,32,54,9,2.4670,91.81,37.28,710,4,6,4.1323,232.65
24,33,54,9,2.4828,90.95,36.90,709,4,6,4.0672,232.03
25,33,54,9,2.6507,92.73,36.06,708,4,6,4.3938,235.51
26,34,54,9,2.7348,97.86,35.80,707,4,6,4.3938,235.51
27,34,54,9,2.7255,97.54,35.80,707,4,6,4.3938,235.51
28,34,54,9,2.7547,98.34,35.66,706,4,6,4.3938,235.51
29,34,54,9,2.5849,95.45,35.87,706,4,6,4.1142,228.57
30,34,54,9,2.6977,94.83,35.12,703,4,6,4.1142,228.57
31,34,54,9,2.7926,95.05,34.70,703,4,6,4.2696,231.75
32,33,54,9,2.4290,92.21,36.10,709,4,6,4.2355,230.45
33,33,54,9,2.4313,92.69,36.14,709,4,6,4.2355,230.45
34,34,54,9,2.7383,94.92,35.04,703,4,6,4.2355,230.45
35,34,54,9,2.6728,94.28,35.11,703,4,6,4.2355,230.45
36,34,54,9,2.6738,94.27,35.11,702,4,6,4.2355,230.45
37,34,54,9,2.7450,96.43,34.81,701,4,6,4.3672,232.55
38,34,54,9,2.8338,105.81,34.42,701,4,6,4.1106,227.21
39,34,54,9,2.7735,101.30,34.64,702,4,6,4.1106,227.21
40,34,54,9,2.7735,101.30,34.64,702,4,6,4.1106,227.21
41,33,54,9,2.6328,100.30,35.04,704,4,6,4.1684,229.60
42,32,54,9,2.9134,105.83,34.37,702,4,6,4.5803,238.47
43,32,54,9,2.9026,105.67,34.44,703,4,6,4.7861,242.68
44,32,54,9,2.9340,108.95,34.69,703,4,6,5.1318,252.57
45,32,54,9,3.0713,113.64,34.28,703,4,6,5.7196,272.98
46,32,54,9,3.0780,114.11,34.28,703,4,6,5.7196,272.98
47,32,54,9,3.1823,114.50,33.89,702,4,6,5.7196,272.98
48,32,54,9,3.1691,112.90,33.64,701,4,6,5.7196,272.98
49,34,54,9,3.2393,113.41,33.64,701,4,6,5.7196,272.98
50,34,54,9,3.2140,113.17,33.64,702,4,6,5.4093,267.20
51,34,54,9,3.2859,113.32,33.37,702,4,6,5.4093,267.20
52,32,54,9,3.3493,115.59,33.27,700,4,6,5.8503,279.08
53,32,54,9,3.3584,116.71,33.19,700,4,6,5.8503,279.08
54,32,54,9,3.2349,113.07,33.25,700,4,6,5.4816,268.69
55,32,54,9,3.2970,114.74,33.14,699,4,6,5.4816,268.69
56,32,54,9,3.2002,111.76,33.36,701,4,6,5.4577,268.24
57,32,54,9,3.2312,114.63,33.12,701,4,6,5.4577,268.24
58,32,54,9,3.2226,113.92,33.18,701,4,6,5.4577,268.24
59,32,54,9,3.4061,124.69,33.03,701,4,6,6.1273,313.67
60,32,54,9,3.4889,125.02,33.12,700,4,6,6.1273,313.67
61,32,54,9,3.4782,119.78,33.12,700,4,6,6.0447,287.20
62,32,54,9,3.2129,109.35,33.95,700,4,6,4.9523,251.41
63,32,54,9,3.3620,112.96,34.07,700,4,6,4.9523,251.41
64,32,54,9,3.3347,112.17,33.89,699,4,6,4.9523,251.41
65,32,54,9,3.2952,111.22,34.08,699,4,6,4.9523,251.41
66,32,54,9,3.2264,109.04,33.78,699,4,6,4.9523,251.41
67,32,54,9,3.2264,109.04,33.78,699,4,6,4.9523,251.41
68,32,54,9,3.1728,107.31,33.90,699,4,6,4.7388,244.93
69,34,54,9,3.3048,107.84,33.90,699,4,6,4.7388,244.93
70,34,54,9,3.2070,107.97,34.36,698,4,6,4.7388,244.93
71,34,54,9,3.2131,108.27,34.30,698,4,6,4.7388,244.93
72,35,54,9,3.2248,108.27,34.29,700,4,6,4.7388,244.93
73,36,54,9,3.3662,115.49,33.97,700,4,6,4.7388,244.93
74,35,54,9,3.2977,115.09,34.05,700,4,6,4.7388,244.93
75,35,54,9,3.4099,117.47,33.66,699,4,6,4.7388,244.93
76,36,54,9,3.5182,119.18,33.19,699,4,6,4.9238,252.03
77,36,54,9,3.5274,119.16,33.14,700,4,6,4.9238,252.03
78,37,54,9,3.6485,121.86,33.01,697,4,6,5.2560,261.09
79,36,54,9,3.6182,122.41,32.91,698,4,6,5.2560,261.09
80,36,54,9,3.4250,118.22,34.05,699,4,6,4.7955,250.72
81,34,54,9,3.1412,116.65,34.49,702,4,6,4.8308,252.50
82,36,54,9,3.2664,117.28,34.11,703,4,6,4.8308,252.50
83,36,54,9,3.3205,119.05,34.04,702,4,6,4.8308,252.50
84,36,54,9,3.3448,122.16,34.04,702,4,6,4.9749,267.39
85,34,54,9,3.2047,123.51,34.62,703,4,6,5.1882,292.89
86,34,54,9,3.2047,123.51,34.62,703,4,6,5.1882,292.89
87,33,54,9,3.2261,131.90,34.62,703,3,6,5.2437,329.92
88,33,54,9,3.1892,126.12,34.62,703,3,6,5.0837,305.04
89,33,54,9,3.3062,133.15,34.58,703,3,6,5.2437,329.92
90,34,54,9,3.3180,133.86,34.63,703,4,6,5.3860,332.65
91,36,54,9,3.4624,134.91,33.91,702,4,6,5.3860,332.65
92,36,54,9,3.4352,134.53,34.16,704,4,6,5.3860,332.65
93,36,54,9,3.4556,135.42,34.04,705,4,6,5.3860,332.65
94,36,54,9,3.4681,131.80,33.98,705,4,6,5.2260,307.77
95,36,54,9,3.6856,139.38,32.97,703,4,6,5.2260,307.77
96,35,54,9,3.6699,140.18,33.19,704,4,6,5.2260,307.77
97,34,54,9,3.5417,140.14,33.80,706,4,6,5.2495,294.17
98,35,54,9,3.5814,136.13,33.68,706,4,6,5.2495,294.17
99,35,54,9,3.5931,137.89,33.68,706,4,6,5.2495,294.17
100,35,54,9,3.5987,138.50,33.65,706,4,6,5.2495,294.17
