vl,universe,window,step,equity
2,Base5,0,0,1
2,Base5,0,1,1
2,Base5,0,2,1.309724944245455
2,Base5,0,3,1.309724944245455
2,Base5,0,4,1.309724944245455
2,Base5,0,5,1.309724944245455
2,Base5,0,6,1.309724944245455
2,Base5,0,7,1.245051564285885
2,Base5,0,8,1.245051564285885
2,Base5,0,9,0.7506074841444837
2,Base5,0,10,0.7506074841444837
2,Base5,0,11,0.7506074841444837
2,Base5,0,12,0.7506074841444837
2,Base5,0,13,0.7506074841444837
2,Base5,0,14,0.7506074841444837
2,Base5,0,15,0.7506074841444837
2,Base5,0,16,0.7506074841444837
2,Base5,0,17,0.7506074841444837
2,Base5,0,18,0.7506074841444837
2,Base5,0,19,0.7506074841444837
2,Base5,0,20,0.7506074841444837
2,Base5,0,21,0.7506074841444837
2,Base5,0,22,0.7506074841444837
2,Base5,0,23,0.7506074841444837
2,Base5,0,24,0.7506074841444837
2,Base5,0,25,0.7506074841444837
2,Base5,0,26,0.7506074841444837
2,Base5,0,27,0.7506074841444837
2,Base5,0,28,0.7506074841444837
2,Base5,0,29,0.7506074841444837
2,Base5,0,30,0.7506074841444837
2,Base5,0,31,0.7506074841444837
2,Base5,0,32,0.7506074841444837
2,Base5,0,33,0.7506074841444837
2,Base5,0,34,0.7506074841444837
2,Base5,0,35,0.7506074841444837
2,Base5,0,36,0.7506074841444837
2,Base5,0,37,0.7506074841444837
2,Base5,0,38,0.6620098558137042
2,Base5,0,39,0.6620098558137042
2,Base5,0,40,0.6620098558137042
2,Base5,0,41,0.6620098558137042
2,Base5,0,42,0.6620098558137042
2,Base5,0,43,0.5946666533711169
2,Base5,0,44,0.5946666533711169
2,Base5,0,45,0.5946666533711169
2,Base5,0,46,0.5946666533711169
2,Base5,0,47,0.5946666533711169
2,Base5,0,48,0.5946666533711169
2,Base5,0,49,0.5946666533711169
2,Base5,0,50,0.5946666533711169
2,Base5,0,51,0.5946666533711169
2,Base5,0,52,0.5946666533711169
2,Base5,0,53,0.5946666533711169
2,Base5,0,54,0.5946666533711169
2,Base5,0,55,0.5946666533711169
2,Base5,0,56,0.5946666533711169
2,Base5,0,57,0.5679400622083701
2,Base5,0,58,1.0568240975488086
2,Base5,0,59,1.0568240975488086
2,Base5,0,60,1.0568240975488086
2,Base5,0,61,0.9803859561872523
2,Base5,0,62,1.0633571446924437
2,Base5,0,63,1.0891767317758125
2,Base5,0,64,1.338742438773991
2,Base5,0,65,1.338742438773991
2,Base5,0,66,1.338742438773991
2,Base5,0,67,1.338742438773991
2,Base5,0,68,1.338742438773991
2,Base5,0,69,1.338742438773991
2,Base5,0,70,1.338742438773991
2,Base5,0,71,1.672822008431828
2,Base5,0,72,1.5055879226153903
2,Base5,0,73,1.5055879226153903
2,Base5,0,74,1.5055879226153903
2,Base5,0,75,1.5055879226153903
2,Base5,0,76,1.5055879226153903
2,Base5,0,77,1.5055879226153903
2,Base5,0,78,1.5055879226153903
2,Base5,0,79,1.5055879226153903
2,Base5,0,80,1.5055879226153903
2,Base5,0,81,1.5055879226153903
2,Base5,0,82,1.3435014886396643
2,Base5,0,83,1.3435014886396643
2,Base5,0,84,1.3435014886396643
2,Base5,0,85,1.3435014886396643
2,Base5,0,86,1.3435014886396643
2,Base5,0,87,1.3435014886396643
2,Base5,0,88,1.3435014886396643
2,Base5,0,89,1.3435014886396643
2,Base5,0,90,1.3435014886396643
2,Base5,0,91,1.3435014886396643
2,Base5,0,92,1.3435014886396643
2,Base5,0,93,1.8913420669417367
2,Base5,1,0,1
2,Base5,1,1,1
2,Base5,1,2,1
2,Base5,1,3,1
2,Base5,1,4,1
2,Base5,1,5,1
2,Base5,1,6,1
2,Base5,1,7,1
2,Base5,1,8,1
2,Base5,1,9,1
2,Base5,1,10,1
2,Base5,1,11,1
2,Base5,1,12,1
2,Base5,1,13,1
2,Base5,1,14,1
2,Base5,1,15,1
2,Base5,1,16,1
2,Base5,1,17,1
2,Base5,1,18,1
2,Base5,1,19,1
2,Base5,1,20,1
2,Base5,1,21,1
2,Base5,1,22,1
2,Base5,1,23,1
2,Base5,1,24,1
2,Base5,1,25,1
2,Base5,1,26,1
2,Base5,1,27,1
2,Base5,1,28,1
2,Base5,1,29,1
2,Base5,1,30,1
2,Base5,1,31,1
2,Base5,1,32,1
2,Base5,1,33,1
2,Base5,1,34,1
2,Base5,1,35,1
2,Base5,1,36,1
2,Base5,1,37,1
2,Base5,1,38,1
2,Base5,1,39,0.996658502017068
2,Base5,1,40,0.996658502017068
2,Base5,1,41,0.996658502017068
2,Base5,1,42,0.996658502017068
2,Base5,1,43,0.996658502017068
2,Base5,1,44,0.996658502017068
2,Base5,1,45,0.996658502017068
2,Base5,1,46,0.996658502017068
2,Base5,1,47,0.996658502017068
2,Base5,1,48,0.996658502017068
2,Base5,1,49,0.996658502017068
2,Base5,1,50,0.996658502017068
2,Base5,1,51,0.996658502017068
2,Base5,1,52,0.996658502017068
2,Base5,1,53,0.996658502017068
2,Base5,1,54,0.996658502017068
2,Base5,1,55,0.996658502017068
2,Base5,1,56,0.996658502017068
2,Base5,1,57,0.996658502017068
2,Base5,1,58,0.996658502017068
2,Base5,1,59,0.996658502017068
2,Base5,1,60,0.996658502017068
2,Base5,1,61,1.2535104735063585
2,Base5,1,62,1.2535104735063585
2,Base5,1,63,1.2535104735063585
2,Base5,1,64,1.2535104735063585
2,Base5,1,65,1.2535104735063585
2,Base5,1,66,1.2535104735063585
2,Base5,1,67,1.338610567249802
2,Base5,1,68,1.338610567249802
2,Base5,1,69,1.4125192785021032
2,Base5,1,70,1.4125192785021032
2,Base5,1,71,1.4125192785021032
2,Base5,1,72,1.4125192785021032
2,Base5,1,73,1.4125192785021032
2,Base5,1,74,1.4125192785021032
2,Base5,1,75,1.4125192785021032
2,Base5,1,76,1.4125192785021032
2,Base5,1,77,1.4125192785021032
2,Base5,1,78,1.2892492487617349
2,Base5,1,79,1.2468065270613637
2,Base5,1,80,1.2468065270613637
2,Base5,1,81,1.2468065270613637
2,Base5,1,82,1.2468065270613637
2,Base5,1,83,7.915927398698742
2,Base5,1,84,7.915927398698742
2,Base5,1,85,7.915927398698742
2,Base5,1,86,7.915927398698742
2,Base5,1,87,7.915927398698742
2,Base5,1,88,7.915927398698742
2,Base5,1,89,7.915927398698742
2,Base5,1,90,7.915927398698742
2,Base5,1,91,7.915927398698742
2,Base5,1,92,7.915927398698742
2,Base5,1,93,7.915927398698742
2,Base5,1,94,7.915927398698742
2,Base5,1,95,7.915927398698742
2,Base5,1,96,7.915927398698742
2,Base5,1,97,9.212115229739354
2,Base5,1,98,9.212115229739354
2,Base5,1,99,9.212115229739354
2,Base5,1,100,9.212115229739354
2,Base5,1,101,9.212115229739354
2,Base5,1,102,9.212115229739354
2,Base5,1,103,9.212115229739354
2,Base5,1,104,9.212115229739354
2,Base5,1,105,9.212115229739354
2,Base5,1,106,9.212115229739354
2,Base5,1,107,9.212115229739354
2,Base5,1,108,9.212115229739354
2,Base5,1,109,9.212115229739354
2,Base5,1,110,9.212115229739354
2,Base5,1,111,9.212115229739354
2,Base5,1,112,9.212115229739354
2,Base5,1,113,10.332696970175682
2,Base5,1,114,10.332696970175682
2,Base5,1,115,10.332696970175682
2,Base5,1,116,10.332696970175682
2,Base5,1,117,10.332696970175682
2,Base5,1,118,10.332696970175682
2,Base5,1,119,10.332696970175682
2,Base5,1,120,10.332696970175682
2,Base5,1,121,10.332696970175682
2,Base5,1,122,10.859152290346163
2,Base5,1,123,10.256927090992175
2,Base5,1,124,10.256927090992175
2,Base5,1,125,10.256927090992175
2,Base5,1,126,10.256927090992175
2,Base5,1,127,10.256927090992175
2,Base5,1,128,10.256927090992175
2,Base5,1,129,10.256927090992175
2,Base5,1,130,10.256927090992175
2,Base5,2,0,1
2,Base5,2,1,1
2,Base5,2,2,1
