vl,universe,window,bar_idx,equity
1,Base5,0,0,1.000000
1,Base5,0,5,1.240081
1,Base5,0,10,0.746117
1,Base5,0,15,0.697715
1,Base5,0,20,0.697715
1,Base5,0,25,0.614131
1,Base5,0,30,0.506738
1,Base5,0,35,0.461582
1,Base5,0,40,1.663786
1,Base5,0,45,2.086306
1,Base5,0,50,2.086306
1,Base5,0,55,2.416628
1,Base5,0,60,2.416628
1,Base5,0,65,2.152154
1,Base5,0,70,2.152154
1,Base5,0,72,3.023686
1,Base5,1,0,1.000000
1,Base5,1,5,1.000000
1,Base5,1,10,1.000000
1,Base5,1,15,1.000000
1,Base5,1,20,1.000000
1,Base5,1,25,1.000000
1,Base5,1,30,1.000000
1,Base5,1,35,0.801511
1,Base5,1,40,0.801511
1,Base5,1,45,0.801511
1,Base5,1,50,0.801511
1,Base5,1,55,0.801511
1,Base5,1,60,1.006056
1,Base5,1,65,1.072210
1,Base5,1,70,1.129150
1,Base5,1,75,1.028550
1,Base5,1,80,1.028550
1,Base5,1,85,3.424960
1,Base5,1,90,3.424960
1,Base5,1,95,3.977814
1,Base5,1,100,3.977814
1,Base5,1,105,3.629773
1,Base5,1,110,3.588772
1,Base5,1,115,3.588772
1,Base5,1,119,3.588772
1,Base5,2,0,1.000000
1,Base5,2,5,1.000000
1,Base5,2,10,0.902416
1,Base5,2,15,1.017737
1,Base5,2,20,1.091842
1,Base5,2,25,1.091842
1,Base5,2,30,1.091842
1,Base5,2,35,1.091842
1,Base5,2,40,1.091842
1,Base5,2,45,1.026650
1,Base5,2,50,1.266073
1,Base5,2,55,0.873758
1,Base5,2,60,0.835475
1,Base5,2,65,0.835475
1,Base5,2,70,1.131487
1,Base5,2,72,0.990283
1,Base5,3,0,1.000000
1,Base5,3,5,0.992395
1,Base5,3,10,2.295434
1,Base5,3,15,2.295434
1,Base5,3,20,2.409618
1,Base5,3,25,2.409618
1,Base5,3,30,2.409618
1,Base5,3,35,2.972448
1,Base5,3,40,4.466303
1,Base5,3,45,4.466303
1,Base5,3,50,4.466303
1,Base5,3,55,4.251709
1,Base5,3,60,4.251709
1,Base5,3,65,4.251709
1,Base5,3,70,4.251709
1,Base5,3,71,3.980298
1,Base5,4,0,1.000000
1,Base5,4,5,1.064632
1,Base5,4,10,1.312729
1,Base5,4,15,1.275325
1,Base5,4,20,0.967729
1,Base5,4,25,0.967729
1,Base5,4,30,0.967729
1,Base5,4,35,0.967729
1,Base5,4,40,0.967729
1,Base5,4,45,0.967729
1,Base5,4,50,0.967729
1,Base5,4,55,0.967729
1,Base5,4,60,0.967729
1,Base5,4,65,1.120439
1,Base5,4,70,1.120439
1,Base5,4,75,1.068989
1,Base5,4,80,1.068989
1,Base5,4,85,1.068989
1,Base5,4,90,0.959060
1,Base5,4,95,0.959060
1,Base5,4,96,1.134369
1,Base5,5,0,1.000000
1,Base5,5,5,1.000000
1,Base5,5,10,1.000000
1,Base5,5,15,1.000000
1,Base5,5,20,1.037412
1,Base5,5,25,1.318547
1,Base5,5,30,1.158591
1,Base5,5,35,1.158591
1,Base5,5,40,1.158591
1,Base5,5,45,1.158591
1,Base5,5,50,1.158591
1,Base5,5,55,1.587434
1,Base5,5,60,1.587434
1,Base5,5,65,1.684218
1,Base5,5,70,1.684218
1,Base5,5,75,1.684218
1,Base5,5,80,1.684218
1,Base5,5,85,1.440713
1,Base5,5,90,1.440713
1,Base5,5,95,1.440713
1,Base5,5,100,1.440713
1,Base5,5,105,1.112967
1,Base5,5,110,1.172001
1,Base5,5,115,1.172001
1,Base5,5,116,1.143433
1,NoDOGE,0,0,1.000000
1,NoDOGE,0,5,1.240081
1,NoDOGE,0,10,0.746117
1,NoDOGE,0,15,0.697715
1,NoDOGE,0,20,0.697715
1,NoDOGE,0,25,0.614131
1,NoDOGE,0,30,0.506738
1,NoDOGE,0,35,0.461582
1,NoDOGE,0,40,1.663786
1,NoDOGE,0,45,2.086306
1,NoDOGE,0,50,2.086306
1,NoDOGE,0,55,2.416628
1,NoDOGE,0,60,2.416628
1,NoDOGE,0,65,2.152154
1,NoDOGE,0,70,2.152154
1,NoDOGE,0,72,3.023686
1,NoDOGE,1,0,1.000000
1,NoDOGE,1,5,1.000000
1,NoDOGE,1,10,1.000000
1,NoDOGE,1,15,1.000000
1,NoDOGE,1,20,1.000000
1,NoDOGE,1,25,1.000000
1,NoDOGE,1,30,1.000000
1,NoDOGE,1,35,0.994667
1,NoDOGE,1,40,0.881852
1,NoDOGE,1,45,0.881852
1,NoDOGE,1,50,0.881852
1,NoDOGE,1,55,0.881852
1,NoDOGE,1,60,0.881852
1,NoDOGE,1,65,0.881852
1,NoDOGE,1,70,0.850480
1,NoDOGE,1,75,0.850480
1,NoDOGE,1,80,0.850480
1,NoDOGE,1,85,0.911005
1,NoDOGE,1,90,0.836796
1,NoDOGE,1,95,0.753909
1,NoDOGE,1,100,0.642914
1,NoDOGE,1,105,0.642914
1,NoDOGE,1,110,0.642914
1,NoDOGE,1,115,0.642914
1,NoDOGE,1,120,0.580036
1,NoDOGE,1,125,0.580036
1,NoDOGE,1,130,0.580036
1,NoDOGE,1,131,0.580036
1,NoDOGE,2,0,1.000000
1,NoDOGE,2,5,1.000000
1,NoDOGE,2,10,0.859657
1,NoDOGE,2,15,0.859657
1,NoDOGE,2,20,0.797938
1,NoDOGE,2,25,0.797938
1,NoDOGE,2,30,0.933677
1,NoDOGE,2,35,0.933677
1,NoDOGE,2,40,0.922210
1,NoDOGE,2,45,0.922210
1,NoDOGE,2,50,0.922210
1,NoDOGE,2,55,0.922210
1,NoDOGE,2,60,0.922210
1,NoDOGE,2,65,0.922210
1,NoDOGE,2,70,0.867147
1,NoDOGE,2,75,1.069372
1,NoDOGE,2,80,0.921741
1,NoDOGE,2,85,1.757932
1,NoDOGE,2,90,1.921943
1,NoDOGE,2,95,2.194925
1,NoDOGE,2,100,2.172316
1,NoDOGE,2,101,2.278066
1,NoDOGE,3,0,1.000000
1,NoDOGE,3,5,0.992395
1,NoDOGE,3,10,2.295434
1,NoDOGE,3,15,2.295434
1,NoDOGE,3,20,2.409618
1,NoDOGE,3,25,2.409618
1,NoDOGE,3,30,2.409618
1,NoDOGE,3,35,2.972448
1,NoDOGE,3,40,4.466303
1,NoDOGE,3,45,4.466303
1,NoDOGE,3,50,4.466303
1,NoDOGE,3,55,7.079971
1,NoDOGE,3,60,7.079971
1,NoDOGE,3,65,7.079971
1,NoDOGE,3,67,6.628017
1,NoDOGE,4,0,1.000000
1,NoDOGE,4,5,1.064632
1,NoDOGE,4,10,1.312729
1,NoDOGE,4,15,1.275325
1,NoDOGE,4,20,1.374563
1,NoDOGE,4,25,1.059029
1,NoDOGE,4,30,1.059029
1,NoDOGE,4,35,1.059029
1,NoDOGE,4,40,1.059029
1,NoDOGE,4,45,1.059029
1,NoDOGE,4,50,1.059029
1,NoDOGE,4,55,1.059029
1,NoDOGE,4,60,1.059029
1,NoDOGE,4,65,1.059029
1,NoDOGE,4,70,1.226147
1,NoDOGE,4,75,1.226147
1,NoDOGE,4,80,1.169842
1,NoDOGE,4,85,1.169842
1,NoDOGE,4,90,1.169842
1,NoDOGE,4,95,1.169842
1,NoDOGE,4,100,1.169842
1,NoDOGE,4,105,1.169842
1,NoDOGE,4,109,1.383681
1,NoDOGE,5,0,1.000000
1,NoDOGE,5,5,1.000000
1,NoDOGE,5,10,1.000000
1,NoDOGE,5,15,1.000000
1,NoDOGE,5,20,1.037412
1,NoDOGE,5,25,1.318547
1,NoDOGE,5,30,1.158591
1,NoDOGE,5,35,1.158591
1,NoDOGE,5,40,1.158591
1,NoDOGE,5,45,1.158591
1,NoDOGE,5,50,1.158591
1,NoDOGE,5,55,1.587434
1,NoDOGE,5,60,1.587434
1,NoDOGE,5,65,1.684218
1,NoDOGE,5,70,1.684218
1,NoDOGE,5,75,1.684218
1,NoDOGE,5,80,1.684218
1,NoDOGE,5,85,1.440713
1,NoDOGE,5,90,1.440713
1,NoDOGE,5,95,1.440713
1,NoDOGE,5,100,1.440713
1,NoDOGE,5,105,1.347495
1,NoDOGE,5,110,1.347495
1,NoDOGE,5,115,1.356307
1,NoDOGE,5,120,1.356307
1,NoDOGE,5,125,1.323247
1,Legacy4,0,0,1.000000
1,Legacy4,0,5,1.394578
1,Legacy4,0,10,1.139433
1,Legacy4,0,15,1.139433
1,Legacy4,0,20,1.099008
1,Legacy4,0,25,1.345597
1,Legacy4,0,30,1.110292
1,Legacy4,0,35,1.309970
1,Legacy4,0,40,1.309970
