bar,equity
0,1.000000
1,0.999335
2,0.999335
3,1.006539
4,1.033019
5,1.036166
6,1.025837
7,1.040728
8,1.024927
9,1.022406
10,1.020581
11,1.025463
12,1.059859
13,1.034097
14,1.038554
15,1.038554
16,1.049275
17,1.045683
18,1.047441
19,1.055338
20,1.071725
21,1.033711
22,1.036850
23,1.034555
24,1.034555
25,1.032853
26,1.023051
27,1.021040
28,1.022414
29,1.024664
30,1.026383
31,1.026383
32,1.024981
33,1.024981
34,1.018195
35,1.060275
36,1.132281
37,1.138200
38,1.145027
39,1.147061
40,1.144998
41,1.147048
42,1.138334
43,1.216214
44,1.210366
45,1.205123
46,1.205123
47,1.204591
48,1.207355
49,1.250110
50,1.296734
51,1.325824
52,1.335280
53,1.327329
54,1.343749
55,1.335339
56,1.357602
57,1.357734
58,1.448984
59,1.456057
60,1.450019
61,1.454549
62,1.461442
63,1.475652
64,1.480701
65,1.483955
66,1.483955
67,1.492531
68,1.495673
69,1.495059
70,1.467435
71,1.480298
72,1.477264
73,1.465318
74,1.506201
75,1.511294
76,1.529393
77,1.542347
78,1.554363
79,1.630541
80,1.655665
81,1.746419
82,1.822562
83,1.438565
84,1.426735
85,1.418978
86,1.426041
87,1.435997
88,1.440967
89,1.467423
90,1.516384
91,1.514858
92,1.526006
93,1.550496
94,1.627240
95,1.599408
96,1.530273
97,1.531540
98,1.506462
99,1.509115
100,1.549314
101,1.530975
102,1.503627
103,1.549958
104,1.570425
105,1.620610
106,1.810111
107,2.202030
108,1.342765
109,1.338758
110,1.333643
111,1.336329
112,1.358513
113,1.361623
114,1.375648
115,1.369865
116,1.464060
117,1.418952
118,1.432650
119,1.568594
120,1.390473
121,1.108933
122,1.100687
123,1.094845
124,1.181273
125,1.206697
126,1.188016
127,1.185998
128,1.180658
129,1.154532
130,1.113226
131,1.191863
132,1.027589
133,1.027589
134,0.949146
135,0.949146
136,0.930853
137,0.972721
138,0.980536
139,0.959336
140,0.959336
141,0.996916
142,1.016686
143,0.996390
144,1.065602
145,0.834681
146,0.834681
147,0.775897
148,0.775897
149,0.775897
150,0.775897
151,0.775897
152,0.775897
153,0.775897
154,0.864006
155,0.854742
156,0.786547
157,0.786547
158,0.786547
159,0.786547
160,0.879174
161,0.879174
162,0.879174
163,0.879174
164,0.879174
165,0.879174
166,0.879174
167,0.879174
168,0.879174
169,0.879174
170,0.879174
171,0.879174
172,0.879174
173,0.879174
174,0.879174
175,0.879174
176,0.879174
177,0.879174
178,0.879174
179,0.879174
180,0.879174
181,0.879174
182,0.734757
183,0.734757
184,0.734757
185,0.734757
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
215,1.000000
216,1.000000
217,1.000000
218,1.000000
219,1.000000
220,1.000000
221,1.000000
222,1.000000
223,1.000000
224,1.000000
225,1.000000
226,1.000000
227,1.000000
228,1.000000
229,1.000000
230,1.000000
231,1.000000
232,1.000000
233,1.000000
234,1.000000
235,1.000000
236,1.000000
237,1.000000
238,1.000000
239,1.000000
240,1.000000
241,1.000000
242,1.000000
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
