bar,equity
0,1.000000
1,0.998559
2,0.998559
3,1.005760
4,1.049381
5,1.050677
6,1.044358
7,1.052692
8,1.037567
9,1.036135
10,1.034310
11,1.041533
12,1.068901
13,1.056630
14,1.059625
15,1.065757
16,1.065757
17,1.065757
18,1.071818
19,1.083697
20,1.101526
21,1.051272
22,1.053974
23,1.059635
24,1.060589
25,1.065042
26,1.047367
27,1.045930
28,1.051175
29,1.051046
30,1.053001
31,1.055467
32,1.054546
33,1.044805
34,1.044805
35,1.086885
36,1.144859
37,1.162496
38,1.166560
39,1.166990
40,1.166990
41,1.158742
42,1.156749
43,1.198805
44,1.192173
45,1.212309
46,1.212309
47,1.215151
48,1.218514
49,1.258962
50,1.292136
51,1.346974
52,1.360270
53,1.361327
54,1.377669
55,1.364571
56,1.484880
57,1.483495
58,1.513054
59,1.518191
60,1.514144
61,1.517954
62,1.520216
63,1.525466
64,1.539917
65,1.540078
66,1.540078
67,1.553542
68,1.553542
69,1.554607
70,1.549925
71,1.581178
72,1.582478
73,1.518885
74,1.537442
75,1.544113
76,1.564015
77,1.584472
78,1.574673
79,1.574673
80,1.574673
81,1.577253
82,1.603052
83,1.570305
84,1.561394
85,1.557832
86,1.602690
87,1.643454
88,1.662899
89,1.693917
90,1.718584
91,1.737225
92,1.746596
93,1.845074
94,2.047392
95,2.002089
96,1.962298
97,1.964553
98,2.104135
99,2.109850
100,2.097731
101,1.726839
102,1.701397
103,1.795148
104,1.724002
105,1.669921
106,1.831735
107,2.219823
108,1.445477
109,1.431888
110,1.428140
111,1.423719
112,1.446081
113,1.467878
114,1.472705
115,1.466290
116,1.491182
117,1.509639
118,1.519206
119,1.596146
120,1.431799
121,1.223658
122,1.223658
123,1.219007
124,1.289177
125,1.303439
126,1.281860
127,1.280775
128,1.277905
129,1.283727
130,1.283727
131,1.360124
132,1.331869
133,1.316084
134,1.204845
135,1.204845
136,1.188838
137,1.188838
138,1.196047
139,1.196047
140,1.196047
141,1.196047
142,1.196047
143,1.071130
144,1.038190
145,1.038190
146,1.037103
147,1.163229
148,1.163229
149,1.163229
150,1.163229
151,1.163229
152,1.163229
153,1.163229
154,1.286586
155,1.166294
156,1.120830
157,1.268423
158,0.786547
159,0.786547
160,0.879174
161,0.879174
162,0.879174
163,0.879174
164,0.879174
165,0.879174
166,0.879174
167,0.879174
168,0.879174
169,0.879174
170,0.879174
171,0.879174
172,0.879174
173,0.879174
174,0.879174
175,0.879174
176,0.879174
177,0.879174
178,0.879174
179,0.879174
180,0.879174
181,0.879174
182,0.734757
183,0.734757
184,0.734757
185,0.734757
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
215,1.000000
216,1.000000
217,1.000000
218,1.000000
219,1.000000
220,1.000000
221,1.000000
222,1.000000
223,1.000000
224,1.000000
225,1.000000
226,1.000000
227,1.000000
228,1.000000
229,1.000000
230,1.000000
231,1.000000
232,1.000000
233,1.000000
234,1.000000
235,1.000000
236,1.000000
237,1.000000
238,1.000000
239,1.000000
240,1.000000
241,1.000000
242,1.000000
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
