bar,equity
0,1.000000
1,0.999335
2,0.999335
3,1.006539
4,1.050159
5,1.051455
6,1.047868
7,1.056203
8,1.041894
9,1.040462
10,1.038637
11,1.040008
12,1.078739
13,1.052977
14,1.054838
15,1.054838
16,1.070386
17,1.066943
18,1.074787
19,1.085803
20,1.096894
21,1.056658
22,1.092031
23,1.147506
24,1.152538
25,1.149733
26,1.139931
27,1.137218
28,1.138592
29,1.140842
30,1.142561
31,1.142561
32,1.136559
33,1.136559
34,1.130225
35,1.132434
36,1.154500
37,1.154986
38,1.161814
39,1.165372
40,1.165184
41,1.184538
42,1.175824
43,1.256243
44,1.249620
45,1.254734
46,1.254734
47,1.253754
48,1.256517
49,1.291794
50,1.342568
51,1.367063
52,1.390205
53,1.387481
54,1.386461
55,1.378619
56,1.396439
57,1.463324
58,1.498325
59,1.502574
60,1.456246
61,1.460717
62,1.470824
63,1.487310
64,1.496794
65,1.497007
66,1.491382
67,1.509910
68,1.509456
69,1.511125
70,1.482574
71,1.457753
72,1.459125
73,1.488003
74,1.529375
75,1.544322
76,1.665160
77,1.672512
78,1.684528
79,1.744817
80,1.705355
81,2.037509
82,1.483077
83,1.468916
84,1.454322
85,1.438153
86,1.450699
87,1.463290
88,1.471401
89,1.496488
90,1.555628
91,1.560775
92,1.580637
93,1.628789
94,1.716033
95,1.654551
96,1.579219
97,1.581479
98,1.574826
99,1.574796
100,1.620195
101,1.604418
102,1.580834
103,1.624680
104,1.634830
105,1.682621
106,1.915217
107,2.245109
108,1.224132
109,1.223358
110,1.213172
111,1.247399
112,1.290321
113,1.296018
114,1.316295
115,1.304980
116,1.309163
117,1.231732
118,1.197246
119,1.244454
120,1.238049
121,1.200746
122,1.200746
123,1.200746
124,1.268290
125,1.275449
126,1.241248
127,1.241248
128,1.241248
129,1.241248
130,1.186251
131,1.193462
132,1.046426
133,1.095220
134,1.017626
135,1.017626
136,0.992016
137,0.992016
138,0.992016
139,0.992016
140,0.992016
141,1.080126
142,0.982429
143,0.926074
144,1.029892
145,0.675354
146,0.675354
147,0.879174
148,0.879174
149,0.879174
150,0.879174
151,0.879174
152,0.879174
153,0.879174
154,0.879174
155,0.879174
156,0.879174
157,0.879174
158,0.879174
159,0.879174
160,0.879174
161,0.879174
162,0.879174
163,0.879174
164,0.879174
165,0.879174
166,0.879174
167,0.879174
168,0.879174
169,0.879174
170,0.879174
171,0.879174
172,0.879174
173,0.879174
174,0.879174
175,0.879174
176,0.879174
177,0.879174
178,0.879174
179,0.879174
180,0.879174
181,0.879174
182,0.734757
183,0.734757
184,0.734757
185,0.734757
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
215,1.000000
216,1.000000
217,1.000000
218,1.000000
219,1.000000
220,1.000000
221,1.000000
222,1.000000
223,1.000000
224,1.000000
225,1.000000
226,1.000000
227,1.000000
228,1.000000
229,1.000000
230,1.000000
231,1.000000
232,1.000000
233,1.000000
234,1.000000
235,1.000000
236,1.000000
237,1.000000
238,1.000000
239,1.000000
240,1.000000
241,1.000000
242,1.000000
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
