vl,pass_count,total_count,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,total_trades,avg_win_rate,positive_universes
1,52,63,82.54,3.6332,100.47,33.37,752,54.9,9
5,54,63,85.71,3.8881,150.67,30.20,716,56.5,9
10,52,63,82.54,3.6702,123.86,30.42,703,56.7,9
15,52,63,82.54,3.6464,112.52,30.10,695,56.1,9
20,54,63,85.71,3.6349,121.45,30.08,690,55.8,9
25,52,63,82.54,3.6925,117.20,29.88,691,56.5,8
30,51,63,80.95,3.7217,114.75,30.23,687,56.1,9
35,51,63,80.95,3.7639,110.48,29.86,685,55.9,9
40,50,63,79.37,3.5881,104.76,30.78,687,55.7,9
45,51,63,80.95,3.9582,114.18,29.88,683,56.8,9
50,51,63,80.95,4.0476,112.55,29.97,685,56.9,9
55,49,63,77.78,4.0000,111.82,30.35,686,57.1,9
60,51,63,80.95,4.1027,113.54,30.33,681,57.6,9
65,52,63,82.54,3.8489,107.58,30.49,684,56.7,9
70,52,63,82.54,3.8490,106.47,30.10,682,56.8,9
75,52,63,82.54,3.9271,118.80,30.10,682,57.0,9
80,52,63,82.54,4.0394,129.46,29.73,684,57.5,9
85,53,63,84.13,4.1522,132.66,29.48,683,57.4,9
90,53,63,84.13,4.1986,135.17,29.48,682,57.4,9
95,53,63,84.13,4.2315,133.36,29.26,683,57.6,9
100,52,63,82.54,4.0688,130.10,29.66,684,57.2,9
110,53,63,84.13,3.9884,127.90,29.84,686,57.1,9
120,53,63,84.13,3.9785,127.38,29.25,684,56.9,9
130,53,63,84.13,3.9853,127.19,29.67,685,56.7,9
140,53,63,84.13,3.9251,121.21,29.37,692,56.6,9
150,51,63,80.95,3.8066,120.04,29.51,691,56.4,9
160,50,63,79.37,3.7877,109.06,29.60,690,56.1,9
170,50,63,79.37,3.8574,115.71,29.46,689,56.7,9
180,51,63,80.95,3.7373,114.72,29.53,690,56.5,9
190,51,63,80.95,3.7157,108.93,30.17,689,56.4,9
200,51,63,80.95,3.5836,107.11,30.58,692,55.6,8
