VOL_LOOKBACK Hyperopt — Live-Compatible Harness
=================================================
Harness: Turtle-only + ATR_rank(12,42,5.0) + USDT hedge
Range: VL ∈ {1..=200 step 5} = 31 values
Scope: 9 universes × 7 windows = 63 OOS windows
Baseline: VL=8
Winner:   VL=5
Runner1:  VL=90
Runner2:  VL=85

    VL |   Pass% | AvgSharpe |  AvgRet% | Pass | AvgDD |  +Uni
------------------------------------------------------------
     5 |   85.7 |    3.888 |    150.7 |   54 |  30.2 |     9
    20 |   85.7 |    3.635 |    121.4 |   54 |  30.1 |     9
    95 |   84.1 |    4.231 |    133.4 |   53 |  29.3 |     9
    90 |   84.1 |    4.199 |    135.2 |   53 |  29.5 |     9
    85 |   84.1 |    4.152 |    132.7 |   53 |  29.5 |     9
   110 |   84.1 |    3.988 |    127.9 |   53 |  29.8 |     9
   130 |   84.1 |    3.985 |    127.2 |   53 |  29.7 |     9
   120 |   84.1 |    3.979 |    127.4 |   53 |  29.3 |     9
   140 |   84.1 |    3.925 |    121.2 |   53 |  29.4 |     9
   100 |   82.5 |    4.069 |    130.1 |   52 |  29.7 |     9
    80 |   82.5 |    4.039 |    129.5 |   52 |  29.7 |     9
    75 |   82.5 |    3.927 |    118.8 |   52 |  30.1 |     9
    70 |   82.5 |    3.849 |    106.5 |   52 |  30.1 |     9
    65 |   82.5 |    3.849 |    107.6 |   52 |  30.5 |     9
    25 |   82.5 |    3.692 |    117.2 |   52 |  29.9 |     8
    10 |   82.5 |    3.670 |    123.9 |   52 |  30.4 |     9
    15 |   82.5 |    3.646 |    112.5 |   52 |  30.1 |     9
     1 |   82.5 |    3.633 |    100.5 |   52 |  33.4 |     9
    60 |   81.0 |    4.103 |    113.5 |   51 |  30.3 |     9
    50 |   81.0 |    4.048 |    112.6 |   51 |  30.0 |     9
    45 |   81.0 |    3.958 |    114.2 |   51 |  29.9 |     9
   150 |   81.0 |    3.807 |    120.0 |   51 |  29.5 |     9
    35 |   81.0 |    3.764 |    110.5 |   51 |  29.9 |     9
   180 |   81.0 |    3.737 |    114.7 |   51 |  29.5 |     9
    30 |   81.0 |    3.722 |    114.8 |   51 |  30.2 |     9
   190 |   81.0 |    3.716 |    108.9 |   51 |  30.2 |     9
   200 |   81.0 |    3.584 |    107.1 |   51 |  30.6 |     8
   170 |   79.4 |    3.857 |    115.7 |   50 |  29.5 |     9
   160 |   79.4 |    3.788 |    109.1 |   50 |  29.6 |     9
    40 |   79.4 |    3.588 |    104.8 |   50 |  30.8 |     9
    55 |   77.8 |    4.000 |    111.8 |   49 |  30.3 |     9
