vl,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Base5,0,463.7118,7.9391,26.11,13,61.5,true
5,Base5,0,366.9643,8.9087,25.60,12,66.7,true
10,Base5,0,404.1361,9.9278,25.60,11,72.7,true
15,Base5,0,404.1361,9.9278,25.60,11,72.7,true
20,Base5,0,404.1361,9.9278,25.60,11,72.7,true
25,Base5,0,404.1361,9.9278,25.60,11,72.7,true
30,Base5,0,404.1361,9.9278,25.60,11,72.7,true
35,Base5,0,404.1361,9.9278,25.60,11,72.7,true
40,Base5,0,404.1361,9.9278,25.60,11,72.7,true
45,Base5,0,404.1361,9.9278,25.60,11,72.7,true
50,Base5,0,404.1361,9.9278,25.60,11,72.7,true
55,Base5,0,404.1361,9.9278,25.60,11,72.7,true
60,Base5,0,404.1361,9.9278,25.60,11,72.7,true
65,Base5,0,404.1361,9.9278,25.60,11,72.7,true
70,Base5,0,404.1361,9.9278,25.60,11,72.7,true
75,Base5,0,404.1361,9.9278,25.60,11,72.7,true
80,Base5,0,404.1361,9.9278,25.60,11,72.7,true
85,Base5,0,404.1361,9.9278,25.60,11,72.7,true
90,Base5,0,404.1361,9.9278,25.60,11,72.7,true
95,Base5,0,404.1361,9.9278,25.60,11,72.7,true
100,Base5,0,404.1361,9.9278,25.60,11,72.7,true
110,Base5,0,404.1361,9.9278,25.60,11,72.7,true
120,Base5,0,404.1361,9.9278,25.60,11,72.7,true
130,Base5,0,404.1361,9.9278,25.60,11,72.7,true
140,Base5,0,404.1361,9.9278,25.60,11,72.7,true
150,Base5,0,404.1361,9.9278,25.60,11,72.7,true
160,Base5,0,404.1361,9.9278,25.60,11,72.7,true
170,Base5,0,404.1361,9.9278,25.60,11,72.7,true
180,Base5,0,404.1361,9.9278,25.60,11,72.7,true
190,Base5,0,404.1361,9.9278,25.60,11,72.7,true
200,Base5,0,404.1361,9.9278,25.60,11,72.7,true
1,Base5,1,357.3816,5.3226,16.33,12,50.0,true
5,Base5,1,546.6062,6.3545,8.91,11,63.6,true
10,Base5,1,546.6062,6.3545,8.91,11,63.6,true
15,Base5,1,546.6062,6.3545,8.91,11,63.6,true
20,Base5,1,546.6062,6.3545,8.91,11,63.6,true
25,Base5,1,546.6062,6.3545,8.91,11,63.6,true
30,Base5,1,546.6062,6.3545,8.91,11,63.6,true
35,Base5,1,546.6062,6.3545,8.91,11,63.6,true
40,Base5,1,397.9431,5.7673,11.39,11,54.5,true
45,Base5,1,397.9431,5.7673,11.39,11,54.5,true
50,Base5,1,397.9431,5.7673,11.39,11,54.5,true
55,Base5,1,397.9431,5.7673,11.39,11,54.5,true
60,Base5,1,397.9431,5.7673,11.39,11,54.5,true
65,Base5,1,397.9431,5.7673,11.39,11,54.5,true
70,Base5,1,397.9431,5.7673,11.39,11,54.5,true
75,Base5,1,397.9431,5.7673,11.39,11,54.5,true
80,Base5,1,397.9431,5.7673,11.39,11,54.5,true
85,Base5,1,397.9431,5.7673,11.39,11,54.5,true
90,Base5,1,397.9431,5.7673,11.39,11,54.5,true
95,Base5,1,397.9431,5.7673,11.39,11,54.5,true
100,Base5,1,397.9431,5.7673,11.39,11,54.5,true
110,Base5,1,397.9431,5.7673,11.39,11,54.5,true
120,Base5,1,397.9431,5.7673,11.39,11,54.5,true
130,Base5,1,397.9431,5.7673,11.39,11,54.5,true
140,Base5,1,397.9431,5.7673,11.39,11,54.5,true
150,Base5,1,397.9431,5.7673,11.39,11,54.5,true
160,Base5,1,397.9431,5.7673,11.39,11,54.5,true
170,Base5,1,397.9431,5.7673,11.39,11,54.5,true
