vl,universe,window,bar_idx,equity
8,Base5,0,0,1.000000
8,Base5,0,5,1.240081
8,Base5,0,10,0.746117
8,Base5,0,15,0.746117
8,Base5,0,20,0.746117
8,Base5,0,25,0.746117
8,Base5,0,30,0.746117
8,Base5,0,35,0.656735
8,Base5,0,40,0.588750
8,Base5,0,45,0.588750
8,Base5,0,50,0.588750
8,Base5,0,55,0.588750
8,Base5,0,60,0.906923
8,Base5,0,65,1.976037
8,Base5,0,70,2.423959
8,Base5,0,75,2.423959
8,Base5,0,80,2.807741
8,Base5,0,85,2.500463
8,Base5,0,90,2.500463
8,Base5,0,95,3.513046
8,Base5,1,0,1.000000
8,Base5,1,5,1.000000
8,Base5,1,10,1.000000
8,Base5,1,15,1.000000
8,Base5,1,20,1.000000
8,Base5,1,25,1.000000
8,Base5,1,30,1.000000
8,Base5,1,35,0.994667
8,Base5,1,40,0.994667
8,Base5,1,45,0.994667
8,Base5,1,50,0.994667
8,Base5,1,55,0.994667
8,Base5,1,60,0.994667
8,Base5,1,65,1.248506
8,Base5,1,70,1.401264
8,Base5,1,75,1.401264
8,Base5,1,80,1.276421
8,Base5,1,85,1.276421
8,Base5,1,90,1.276421
8,Base5,1,95,8.087757
8,Base5,1,100,8.087757
8,Base5,1,105,8.087757
8,Base5,1,110,9.393275
8,Base5,1,115,9.393275
8,Base5,1,120,10.514843
8,Base5,1,125,8.474586
8,Base5,1,130,8.474586
8,Base5,1,135,8.474586
8,Base5,2,0,1.000000
8,Base5,2,5,1.000000
8,Base5,2,10,1.247379
8,Base5,2,15,1.369861
8,Base5,2,20,1.467880
8,Base5,2,25,1.467880
8,Base5,2,30,1.467880
8,Base5,2,35,1.467880
8,Base5,2,40,1.467880
8,Base5,2,45,1.380236
8,Base5,2,50,1.702118
8,Base5,2,55,1.702118
8,Base5,2,60,1.702118
8,Base5,2,65,1.191919
8,Base5,2,70,1.191919
8,Base5,2,75,1.191919
8,Base5,2,80,1.191919
8,Base5,2,85,1.191919
8,Base5,2,90,1.614219
8,Base5,2,94,1.412773
8,Base5,3,0,1.000000
8,Base5,3,5,0.992395
8,Base5,3,10,1.496097
8,Base5,3,15,1.782871
8,Base5,3,20,2.109094
8,Base5,3,25,2.109094
8,Base5,3,30,1.433252
8,Base5,3,35,1.433252
8,Base5,3,40,2.669432
8,Base5,3,45,2.656577
8,Base5,3,50,2.656577
8,Base5,3,55,2.656577
8,Base5,3,60,2.427267
8,Base5,3,65,2.427267
8,Base5,3,70,2.427267
