vl,pass_count,total_windows,pass_pct,avg_sharpe,avg_ret,avg_dd,trades,pos_universes
1,31,54,57.41,2.9136,87.42,39.87,800,9
2,34,54,62.96,3.1537,98.72,38.42,779,9
3,32,54,59.26,3.0366,108.86,38.31,765,9
4,32,54,59.26,3.3514,107.92,36.71,752,9
5,30,54,55.56,3.0784,107.59,37.16,752,9
6,33,54,61.11,3.2557,108.74,36.24,752,9
7,35,54,64.81,3.5470,110.92,35.09,739,9
8,34,54,62.96,3.1700,107.79,36.03,743,9
9,32,54,59.26,3.0011,106.54,37.09,740,9
10,33,54,61.11,3.0542,101.16,37.37,736,9
11,31,54,57.41,2.7749,98.63,38.43,738,9
12,31,54,57.41,2.5565,92.06,39.29,743,9
13,33,54,61.11,2.6144,97.57,39.15,743,9
14,31,54,57.41,2.4173,99.58,40.12,742,9
15,33,54,61.11,2.3894,91.29,40.26,739,9
16,33,54,61.11,2.3877,101.76,40.33,738,9
17,33,54,61.11,2.6186,106.81,39.83,735,9
18,33,54,61.11,2.7751,107.08,38.94,729,9
19,33,54,61.11,2.6961,103.28,39.11,731,9
20,33,54,61.11,2.7082,102.55,39.18,735,9
21,32,54,59.26,2.7082,102.36,39.12,735,9
22,32,54,59.26,2.9927,108.97,38.41,733,9
23,32,54,59.26,2.8316,105.39,39.01,733,9
24,32,54,59.26,2.6022,97.92,39.55,732,9
25,32,54,59.26,2.8125,99.45,38.30,730,9
26,32,54,59.26,2.8233,104.01,38.20,730,9
27,32,54,59.26,2.8233,104.01,38.20,730,9
28,32,54,59.26,2.8746,105.45,38.06,728,9
29,32,54,59.26,2.7191,102.94,38.35,728,9
30,32,54,59.26,2.7297,102.92,38.36,727,9
31,33,54,61.11,3.0740,106.07,36.87,727,9
32,33,54,61.11,2.9881,105.45,37.13,729,9
33,33,54,61.11,3.0144,108.14,37.37,729,9
34,34,54,62.96,3.3851,116.64,36.63,725,9
35,34,54,62.96,3.2851,116.72,36.96,726,9
36,34,54,62.96,3.3013,116.87,36.84,725,9
37,34,54,62.96,3.3683,118.76,36.74,724,9
38,34,54,62.96,3.4289,118.43,36.23,723,9
39,34,54,62.96,3.3952,113.98,36.08,724,9
40,34,54,62.96,3.3752,113.46,36.25,725,9
41,32,54,59.26,3.2362,111.52,36.06,730,9
42,33,54,61.11,3.4931,113.96,35.02,729,9
43,33,54,61.11,3.5763,117.79,34.99,728,9
44,34,54,62.96,3.4745,119.69,35.89,730,9
45,34,54,62.96,3.6143,121.61,35.95,729,9
46,34,54,62.96,3.6216,121.98,35.95,729,9
47,34,54,62.96,3.7720,122.76,35.26,727,9
48,34,54,62.96,3.7371,121.43,35.24,727,9
49,34,54,62.96,3.7371,121.43,35.24,727,9
50,34,54,62.96,3.7810,121.25,34.85,727,9
51,34,54,62.96,3.6576,117.80,35.18,727,9
52,34,54,62.96,3.8039,120.62,34.78,725,9
53,34,54,62.96,3.7831,121.33,34.83,726,9
54,34,54,62.96,3.7994,122.27,34.83,726,9
55,34,54,62.96,3.7551,121.73,34.88,726,9
56,34,54,62.96,3.7621,121.96,34.70,726,9
57,34,54,62.96,3.8248,124.92,34.46,726,9
58,34,54,62.96,3.8113,124.04,34.52,727,9
59,34,54,62.96,3.9929,134.39,34.28,726,9
60,34,54,62.96,3.9685,134.08,34.28,725,9
61,34,54,62.96,3.9750,129.17,34.28,725,9
62,34,54,62.96,3.8265,122.88,34.44,722,9
63,34,54,62.96,3.8752,125.20,34.44,722,9
64,34,54,62.96,3.8974,125.62,34.27,720,9
65,34,54,62.96,3.8501,130.23,34.40,720,9
66,34,54,62.96,3.8943,129.91,34.27,720,9
67,34,54,62.96,3.8921,129.55,34.27,720,9
68,34,54,62.96,3.8146,126.12,34.52,720,9
69,35,54,64.81,3.9112,126.60,34.49,720,9
70,35,54,64.81,3.7597,125.89,35.26,722,9
71,35,54,64.81,3.7767,126.73,35.08,721,9
72,35,54,64.81,3.7292,123.78,35.12,723,9
73,35,54,64.81,3.7566,123.22,34.90,724,9
74,35,54,64.81,3.7379,123.23,34.88,724,9
75,35,54,64.81,3.7653,122.54,34.73,722,9
76,35,54,64.81,3.8185,123.48,34.36,722,9
77,35,54,64.81,3.8466,124.64,34.09,722,9
78,36,54,66.67,3.9608,126.95,33.91,720,9
79,35,54,64.81,3.9177,127.17,33.89,721,9
80,35,54,64.81,3.9632,128.88,33.74,722,9
81,34,54,62.96,3.6089,127.00,34.74,726,9
82,34,54,62.96,3.6757,125.88,34.49,727,9
83,34,54,62.96,3.6735,125.85,34.49,727,9
84,34,54,62.96,3.6964,131.48,34.32,727,9
85,34,54,62.96,3.6019,136.75,34.95,728,9
86,36,54,66.67,3.8664,142.51,34.66,726,9
87,36,54,66.67,3.9372,154.85,34.35,724,9
88,36,54,66.67,3.8686,146.20,34.50,724,9
89,36,54,66.67,4.0792,169.46,34.06,723,9
90,36,54,66.67,3.9209,165.19,34.23,724,9
91,36,54,66.67,4.0144,162.94,33.74,723,9
92,36,54,66.67,3.9384,159.31,33.98,724,9
93,36,54,66.67,3.9129,160.43,34.04,725,9
94,37,54,68.52,3.9046,153.58,34.17,725,9
95,37,54,68.52,4.1068,180.05,32.50,724,9
96,37,54,68.52,4.2414,184.18,32.39,724,9
97,37,54,68.52,4.0762,180.90,33.40,727,9
98,37,54,68.52,4.0633,176.54,33.38,727,9
99,37,54,68.52,4.0764,178.31,33.38,727,9
100,37,54,68.52,4.1593,181.29,33.31,727,9
