step,vb_1,vb_2,vb_3,vb_5,vb_7,vb_10,vb_14,vb_21
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.074788,1.074788,1.074788,1.074788,1.074788,1.074788,1.074788,1.074788
4,1.102994,1.102994,1.102994,1.102994,1.102994,1.102994,1.155169,1.102994
5,1.131941,1.131941,1.131941,1.131941,1.131941,1.131941,1.241562,1.131941
6,1.161647,1.161647,1.161647,1.161647,1.161647,1.161647,1.334415,1.161647
7,1.192133,1.192133,1.192133,1.192133,1.192133,1.192133,1.434214,1.192133
8,1.223419,1.223419,1.223419,1.223419,1.223419,1.223419,1.541475,1.223419
9,1.255527,1.255527,1.255527,1.255527,1.255527,1.255527,1.656759,1.255527
10,1.288476,1.288476,1.288476,1.288476,1.288476,1.288476,1.780665,1.288476
11,1.322291,1.322291,1.322291,1.322291,1.322291,1.322291,1.913837,1.322291
12,1.356993,1.356993,1.356993,1.356993,1.356993,1.356993,2.056968,1.356993
13,1.392605,1.392605,1.392605,1.392605,1.392605,1.392605,2.210805,1.392605
14,1.429152,1.429152,1.429152,1.429152,1.429152,1.429152,2.376146,1.429152
15,1.466659,1.466659,1.466659,1.466659,1.466659,1.466659,2.553853,1.466659
16,1.505149,1.505149,1.505149,1.505149,1.505149,1.505149,2.744850,1.505149
17,1.544650,1.544650,1.544650,1.544650,1.544650,1.544650,2.950132,1.544650
18,1.585187,1.585187,1.585187,1.585187,1.585187,1.585187,3.170766,1.585187
19,1.626788,1.626788,1.626788,1.626788,1.626788,1.626788,3.407901,1.626788
20,1.669482,1.669482,1.669482,1.669482,1.669482,1.669482,3.662771,1.669482
21,1.713295,1.713295,1.713295,1.713295,1.713295,1.713295,3.936702,1.713295
22,1.758258,1.758258,1.758258,1.758258,1.758258,1.758258,4.231119,1.758258
23,1.804401,1.804401,1.804401,1.804401,1.804401,1.804401,4.547556,1.804401
24,1.851756,1.851756,1.851756,1.851756,1.851756,1.851756,4.887658,1.851756
25,1.900353,1.900353,1.900353,1.900353,1.900353,1.900353,5.253195,1.900353
26,1.950225,1.950225,1.950225,1.950225,1.950225,1.950225,5.646071,1.950225
27,2.001406,2.001406,2.001406,2.001406,2.001406,2.001406,6.068328,2.001406
28,2.053931,2.053931,2.053931,2.053931,2.053931,2.053931,6.522166,2.053931
29,2.107833,2.107833,2.107833,2.107833,2.107833,2.107833,7.009945,2.107833
30,2.163151,2.163151,2.163151,2.163151,2.163151,2.163151,7.534204,2.163151
31,2.219920,2.219920,2.219920,2.219920,2.219920,2.219920,8.097671,2.219920
32,2.278179,2.278179,2.278179,2.278179,2.278179,2.278179,8.703279,2.278179
33,2.337967,2.337967,2.337967,2.337967,2.337967,2.337967,9.354179,2.337967
34,2.399324,2.399324,2.399324,2.399324,2.399324,2.399324,10.053758,2.399324
35,2.462291,2.462291,2.462291,2.462291,2.462291,2.462291,10.805657,2.462291
36,2.526911,2.526911,2.526911,2.526911,2.526911,2.526911,11.613789,2.526911
37,2.593227,2.593227,2.593227,2.593227,2.593227,2.593227,12.482360,2.593227
38,2.661283,2.661283,2.661283,2.661283,2.661283,2.661283,13.415890,2.661283
39,2.731125,2.731125,2.731125,2.731125,2.731125,2.731125,14.419236,2.731125
40,2.802799,2.802799,2.802799,2.802799,2.802799,2.802799,15.497620,2.802799
41,2.876355,2.876355,2.876355,2.876355,2.876355,2.876355,16.656654,2.876355
42,2.951842,2.951842,2.951842,2.951842,2.951842,2.951842,17.902370,2.951842
43,3.029309,3.029309,3.029309,3.029309,3.029309,3.029309,19.241250,3.029309
44,3.108809,3.108809,3.108809,3.108809,3.108809,3.108809,20.680263,3.108809
45,3.190396,3.190396,3.190396,3.190396,3.190396,3.190396,22.226896,3.190396
46,3.274124,3.274124,3.274124,3.274124,3.274124,3.274124,23.889199,3.274124
47,3.360049,3.360049,3.360049,3.360049,3.360049,3.360049,25.675821,3.360049
48,3.410014,3.410014,3.410014,3.410014,3.410014,3.410014,27.596062,3.410014
49,3.460722,3.460722,3.460722,3.460722,3.460722,3.460722,29.659913,3.460722
50,3.409173,3.512183,3.512183,3.512183,3.512183,3.512183,31.878115,3.512183
51,3.358391,3.564410,3.564410,3.564410,3.564410,3.564410,33.882494,3.564410
52,2.994745,3.617414,3.617414,3.617414,3.617414,3.617414,36.012902,3.617414
53,2.168697,3.323187,3.323187,3.323187,3.671205,3.671205,38.277261,3.671205
54,1.570500,2.479260,2.479260,2.479260,3.725797,3.725797,40.683995,3.725797
55,1.137305,1.849649,1.849649,1.849649,3.396556,3.396556,43.242056,3.396556
56,0.823599,1.379928,1.379928,1.379928,3.096410,3.096410,45.960958,3.096410
57,0.518893,1.029494,1.029494,1.029494,2.822787,2.822787,48.850815,2.822787
58,0.326918,0.768053,0.768053,0.768053,2.573343,2.573343,46.640553,2.573343
59,0.246723,0.573005,0.573005,0.573005,2.345942,2.345942,44.530294,2.345942
60,0.277443,0.847249,0.847249,0.847249,2.138636,2.138636,42.515514,2.138636
61,0.491162,1.866634,1.866634,1.866634,3.864047,3.864047,40.591893,3.864047
62,0.869511,6.474297,6.474297,6.474297,10.402619,10.402619,38.755306,10.402619
63,1.539308,22.455677,22.455677,22.455677,44.088833,44.088833,37.001816,44.088833
64,2.725060,77.886045,77.886045,77.886045,186.859212,186.859212,70.016559,186.859212
65,4.824215,270.142650,270.142650,270.142650,791.954853,791.954853,197.411887,791.954853
66,8.540379,936.972102,936.972102,936.972102,3356.497556,3356.497556,876.256904,3356.497556
67,15.119160,3249.826419,3249.826419,3249.826419,14225.654164,14225.654164,3889.462662,14225.654164
68,26.765672,11271.810267,11271.810267,11271.810267,60291.787198,60291.787198,17264.251757,60291.787198
69,47.383667,39095.536281,39095.536281,39095.536281,255531.279030,255531.279030,76631.250804,255531.279030
70,83.884007,135600.309177,135600.309177,135600.309177,1083003.798638,1083003.798638,340144.981819,1083003.798638
71,148.501101,470320.798683,470320.798683,470320.798683,4590033.878899,4590033.878899,1509809.737434,4590033.878899
72,262.893701,1631276.912397,1631276.912397,1631276.912397,19453681.543803,19453681.543803,6701628.908545,19453681.543803
73,465.404615,5657977.219742,5657977.219742,5657977.219742,82449440.590729,82449440.590729,29746681.925739,82449440.590729
74,823.912688,19624323.728134,19624323.728134,19624323.728134,349440810.903455,349440810.903455,132037314.758340,349440810.903455
75,1458.584843,68065682.633517,68065682.633517,68065682.633517,1481015267.659621,1481015267.659621,586077214.666007,1481015267.659621
76,3179.430408,236081365.989936,236081365.989936,236081365.989936,6276903425.704624,6276903425.704624,2601435072.951374,6276903425.704624
77,6930.538027,1008236315.492632,1008236315.492632,1008236315.492632,26603045543.131802,26603045543.131802,11547052622.815502,26603045543.131802
