vol_lookback,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Base5,0,98.62,4.8845,41.38,17,41.18,true
2,Base5,0,289.15,9.7154,30.59,15,46.67,true
3,Base5,0,289.15,9.7154,30.59,15,46.67,true
5,Base5,0,289.15,9.7154,30.59,15,46.67,true
7,Base5,0,375.52,11.5715,15.75,14,50.00,true
10,Base5,0,375.52,11.5715,15.75,14,50.00,true
14,Base5,0,398.01,12.1073,15.75,13,53.85,true
21,Base5,0,375.52,11.5715,15.75,14,50.00,true
1,Base5,1,176.78,2.5231,22.40,15,66.67,true
2,Base5,1,176.78,2.5231,22.40,15,66.67,true
3,Base5,1,176.78,2.5231,22.40,15,66.67,true
5,Base5,1,176.78,2.5231,22.40,15,66.67,true
7,Base5,1,176.78,2.5231,22.40,15,66.67,true
10,Base5,1,176.78,2.5231,22.40,15,66.67,true
14,Base5,1,196.67,2.6598,22.40,14,71.43,true
21,Base5,1,196.67,2.6598,22.40,14,71.43,true
1,Base5,2,16.24,2.2930,39.54,12,33.33,true
2,Base5,2,29.96,3.1376,40.41,12,33.33,true
3,Base5,2,29.96,3.1376,40.41,12,33.33,true
5,Base5,2,56.44,4.1607,36.03,12,33.33,true
7,Base5,2,29.96,3.1376,40.41,12,33.33,true
10,Base5,2,29.96,3.1376,40.41,12,33.33,true
14,Base5,2,29.96,3.1376,40.41,12,33.33,true
21,Base5,2,15.47,2.4428,47.06,12,33.33,true
1,Base5,3,167.15,7.1129,28.28,15,53.33,true
2,Base5,3,100.77,6.1415,27.17,14,50.00,true
3,Base5,3,220.26,8.6972,18.63,14,64.29,true
5,Base5,3,220.26,8.6972,18.63,14,64.29,true
7,Base5,3,231.22,9.0279,18.63,13,69.23,true
10,Base5,3,196.12,8.0529,20.50,13,61.54,true
14,Base5,3,178.68,7.4662,22.29,12,58.33,true
21,Base5,3,68.72,3.7896,44.98,12,50.00,true
1,Base5,4,51.04,9.5291,14.83,8,75.00,true
2,Base5,4,77.35,19.6143,4.40,7,85.71,true
3,Base5,4,51.04,9.5291,14.83,8,75.00,true
5,Base5,4,51.04,9.5291,14.83,8,75.00,true
7,Base5,4,51.04,9.5291,14.83,8,75.00,true
10,Base5,4,51.04,9.5291,14.83,8,75.00,true
14,Base5,4,51.04,9.5291,14.83,8,75.00,true
21,Base5,4,51.04,9.5291,14.83,8,75.00,true
1,Base5,5,52.42,3.4074,16.11,15,53.33,true
2,Base5,5,28.38,3.4863,16.11,15,53.33,true
3,Base5,5,31.57,3.1626,16.11,14,64.29,true
5,Base5,5,29.92,3.0608,16.95,13,61.54,true
7,Base5,5,17.96,2.2180,24.60,13,53.85,true
10,Base5,5,-0.83,0.4751,36.40,12,50.00,false
14,Base5,5,-0.83,0.4751,36.40,12,50.00,false
21,Base5,5,17.90,2.2328,24.39,11,54.55,true
1,NoDOGE,0,98.62,4.8845,41.38,17,41.18,true
2,NoDOGE,0,289.15,9.7154,30.59,15,46.67,true
3,NoDOGE,0,289.15,9.7154,30.59,15,46.67,true
5,NoDOGE,0,289.15,9.7154,30.59,15,46.67,true
7,NoDOGE,0,375.52,11.5715,15.75,14,50.00,true
