vol_lookback,pass_count,total_count,pass_rate_pct,positive_universes,avg_sharpe,avg_ret_pct,worst_dd_pct,total_trades,avg_win_rate_pct
1,36,54,66.6667,9,3.476528,138.8355,81.1627,765,47.1666
2,39,54,72.2222,9,3.183080,109.6117,83.5393,749,46.9807
3,34,54,62.9630,9,3.273543,137.1084,79.7004,736,47.9737
4,35,54,64.8148,9,3.467809,135.7807,79.7004,730,48.0195
5,35,54,64.8148,9,3.127571,108.8308,78.9164,732,47.7604
6,36,54,66.6667,9,3.158732,112.2533,78.9164,728,48.7545
7,38,54,70.3704,9,3.239967,105.8329,79.3294,721,48.6888
8,40,54,74.0741,9,3.147143,105.3297,79.3294,721,48.2043
9,40,54,74.0741,9,3.111914,102.4354,80.6465,715,48.0453
10,34,54,62.9630,9,2.685778,97.7926,80.6465,713,46.9406
11,34,54,62.9630,9,2.619744,98.6095,80.6465,714,46.8931
12,34,54,62.9630,9,2.459885,97.2293,81.3663,718,46.7945
13,34,54,62.9630,9,2.386044,93.5756,81.3663,719,46.5707
14,32,54,59.2593,8,2.071779,88.8314,81.3663,719,46.1514
15,31,54,57.4074,9,2.306423,85.8439,81.3663,714,46.3012
16,31,54,57.4074,9,2.136063,84.6489,78.9979,717,46.2472
17,31,54,57.4074,9,2.160973,84.5513,81.3663,714,46.1187
18,31,54,57.4074,9,2.261190,86.7935,78.8383,709,46.7497
19,31,54,57.4074,9,2.209155,86.7408,79.7004,710,46.6057
20,32,54,59.2593,9,2.441806,91.4272,79.7004,712,47.0236
21,32,54,59.2593,9,2.391413,89.9234,76.0120,711,47.0157
22,32,54,59.2593,9,2.443954,91.3856,79.7004,710,47.0804
23,32,54,59.2593,9,2.466983,91.8061,79.7004,710,47.2228
24,33,54,61.1111,9,2.482812,90.9547,79.7004,709,47.5012
25,33,54,61.1111,9,2.650667,92.7265,79.7004,708,48.0116
26,34,54,62.9630,9,2.734757,97.8602,79.7004,707,48.1717
27,34,54,62.9630,9,2.725533,97.5374,79.7004,707,48.1717
28,34,54,62.9630,9,2.754741,98.3372,79.7004,706,48.2330
29,34,54,62.9630,9,2.584872,95.4546,79.7004,706,47.5292
30,34,54,62.9630,9,2.697685,94.8252,79.7004,703,47.7824
31,34,54,62.9630,9,2.792552,95.0487,79.7004,703,47.9365
32,33,54,61.1111,9,2.429018,92.2095,79.7004,709,47.2548
33,33,54,61.1111,9,2.431293,92.6909,81.5957,709,47.2548
34,34,54,62.9630,9,2.738311,94.9194,81.5957,703,47.9242
35,34,54,62.9630,9,2.672759,94.2773,81.5957,703,47.5325
36,34,54,62.9630,9,2.673843,94.2713,81.5957,702,47.4612
37,34,54,62.9630,9,2.744965,96.4334,78.8383,701,47.6012
38,34,54,62.9630,9,2.833805,105.8055,78.8383,701,47.4350
39,34,54,62.9630,9,2.773550,101.3030,78.8383,702,47.2671
40,34,54,62.9630,9,2.773550,101.3030,78.8383,702,47.2671
41,33,54,61.1111,9,2.632840,100.2969,78.8383,704,46.9359
42,32,54,59.2593,9,2.913414,105.8347,77.8279,702,47.5349
43,32,54,59.2593,9,2.902619,105.6678,78.8383,703,47.4975
44,32,54,59.2593,9,2.934001,108.9465,77.8279,703,47.7418
45,32,54,59.2593,9,3.071312,113.6439,77.8279,703,48.0064
46,32,54,59.2593,9,3.077958,114.1123,77.8279,703,48.0064
47,32,54,59.2593,9,3.182303,114.5016,77.8279,702,48.2082
