vl,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
1,Base5,0,1404.55,7.3766,50.42,38,57.89,true,15.045518
2,Base5,0,1216.27,7.4272,52.41,35,57.14,true,13.162747
3,Base5,0,1216.27,7.4272,52.41,35,57.14,true,13.162747
5,Base5,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
7,Base5,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
10,Base5,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
15,Base5,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
20,Base5,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
25,Base5,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
30,Base5,0,1242.04,7.7320,50.42,33,57.58,true,13.420376
40,Base5,0,1347.83,7.9199,50.42,33,57.58,true,14.478281
55,Base5,0,1347.83,7.9199,50.42,33,57.58,true,14.478281
75,Base5,0,1347.83,7.9199,50.42,33,57.58,true,14.478281
100,Base5,0,1587.36,8.4613,50.42,32,59.38,true,16.873605
1,Base5,1,28.68,3.0449,65.33,25,48.00,true,1.286764
2,Base5,1,28.68,3.0449,65.33,25,48.00,true,1.286764
3,Base5,1,0.56,2.3915,65.33,24,45.83,true,1.005635
5,Base5,1,0.56,2.3915,65.33,24,45.83,true,1.005635
7,Base5,1,0.56,2.3915,65.33,24,45.83,true,1.005635
10,Base5,1,0.56,2.3915,65.33,24,45.83,true,1.005635
15,Base5,1,0.56,2.3915,65.33,24,45.83,true,1.005635
20,Base5,1,11.12,2.7839,65.33,22,50.00,true,1.111226
25,Base5,1,22.68,3.1392,65.33,21,52.38,true,1.226833
30,Base5,1,22.68,3.1392,65.33,21,52.38,true,1.226833
40,Base5,1,22.68,3.1392,65.33,21,52.38,true,1.226833
55,Base5,1,22.68,3.1392,65.33,21,52.38,true,1.226833
75,Base5,1,22.68,3.1392,65.33,21,52.38,true,1.226833
100,Base5,1,22.68,3.1392,65.33,21,52.38,true,1.226833
1,Base5,2,371.10,5.5696,47.85,36,52.78,true,4.710972
2,Base5,2,242.93,5.1194,43.10,33,54.55,true,3.429256
3,Base5,2,132.25,4.1405,43.10,32,53.12,true,2.322463
5,Base5,2,33.10,2.5199,43.10,31,51.61,true,1.330966
7,Base5,2,15.19,1.9785,43.10,30,50.00,true,1.151925
10,Base5,2,30.71,2.5968,41.99,27,51.85,true,1.307135
15,Base5,2,1.69,1.4715,43.87,26,50.00,true,1.016906
20,Base5,2,-43.96,-2.4826,43.96,24,45.83,true,0.560446
25,Base5,2,-57.65,-5.6504,57.65,23,43.48,true,0.423517
30,Base5,2,-48.71,-4.5613,48.71,22,45.45,true,0.512916
40,Base5,2,-48.80,-4.6908,48.80,21,42.86,true,0.512039
55,Base5,2,-37.63,-2.4440,41.99,22,45.45,true,0.623668
75,Base5,2,-29.10,-1.3160,41.99,23,47.83,true,0.708958
100,Base5,2,-21.76,-0.6662,41.99,22,50.00,true,0.782430
1,Base5,3,60.66,2.6743,44.56,50,52.00,true,1.606628
2,Base5,3,86.54,3.2076,44.56,45,51.11,true,1.865428
3,Base5,3,-23.80,0.6447,60.32,44,47.73,true,0.761963
5,Base5,3,-39.18,-0.1028,62.43,41,46.34,true,0.608160
7,Base5,3,-50.13,-0.8831,69.19,39,46.15,true,0.498716
10,Base5,3,-15.49,0.9340,56.15,40,50.00,true,0.845085
15,Base5,3,58.11,3.0963,44.56,36,52.78,true,1.581051
20,Base5,3,32.26,2.3953,44.56,35,51.43,true,1.322609
25,Base5,3,16.89,1.8871,44.56,34,50.00,true,1.168893
30,Base5,3,16.89,1.8871,44.56,34,50.00,true,1.168893
40,Base5,3,45.22,2.6601,44.56,36,50.00,true,1.452181
55,Base5,3,57.26,2.7806,44.56,40,47.50,true,1.572624
75,Base5,3,-5.37,0.9837,44.56,35,45.71,true,0.946305
100,Base5,3,164.55,4.6623,44.56,40,55.00,true,2.645469
1,Base5,4,-14.94,-0.6630,48.44,19,42.11,true,0.850552
2,Base5,4,6.82,1.6828,35.24,17,47.06,true,1.068236
3,Base5,4,6.82,1.6828,35.24,17,47.06,true,1.068236
5,Base5,4,6.82,1.6828,35.24,17,47.06,true,1.068236
7,Base5,4,6.82,1.6828,35.24,17,47.06,true,1.068236
10,Base5,4,6.82,1.6828,35.24,17,47.06,true,1.068236
15,Base5,4,6.82,1.6828,35.24,17,47.06,true,1.068236
20,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
25,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
30,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
40,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
55,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
75,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
100,Base5,4,8.83,1.9539,35.24,16,50.00,true,1.088310
1,Base5,5,121.29,7.1651,25.60,22,59.09,true,2.212921
2,Base5,5,86.71,6.1317,25.60,21,57.14,true,1.867080
3,Base5,5,55.66,4.9838,25.60,19,52.63,true,1.556558
5,Base5,5,53.65,5.1616,25.60,17,47.06,true,1.536499
7,Base5,5,39.76,4.4142,25.60,16,43.75,true,1.397571
10,Base5,5,28.16,3.9359,25.60,14,42.86,true,1.281628
15,Base5,5,28.16,3.9359,25.60,14,42.86,true,1.281628
20,Base5,5,52.74,6.5528,17.32,13,46.15,true,1.527449
25,Base5,5,52.74,6.5528,17.32,13,46.15,true,1.527449
30,Base5,5,52.74,6.5528,17.32,13,46.15,true,1.527449
40,Base5,5,52.74,6.5528,17.32,13,46.15,true,1.527449
55,Base5,5,52.74,6.5528,17.32,13,46.15,true,1.527449
75,Base5,5,89.31,10.1707,16.31,14,57.14,true,1.893133
100,Base5,5,89.31,10.1707,16.31,14,57.14,true,1.893133
1,NoDOGE,0,1404.55,7.3766,50.42,38,57.89,true,15.045518
2,NoDOGE,0,1216.27,7.4272,52.41,35,57.14,true,13.162747
3,NoDOGE,0,1216.27,7.4272,52.41,35,57.14,true,13.162747
5,NoDOGE,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
7,NoDOGE,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
10,NoDOGE,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
15,NoDOGE,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
20,NoDOGE,0,1271.38,7.6507,50.42,34,58.82,true,13.713786
