vl,universe,window,step,equity
1,Base5,0,0,1.000000
1,Base5,0,1,1.000000
1,Base5,0,2,1.000000
1,Base5,0,3,1.094041
1,Base5,0,4,1.094041
1,Base5,0,5,1.094041
1,Base5,0,6,0.994392
1,Base5,0,7,0.994392
1,Base5,0,8,0.994392
1,Base5,0,9,0.994392
1,Base5,0,10,0.994392
1,Base5,0,11,0.994392
1,Base5,0,12,0.994392
1,Base5,0,13,0.994392
1,Base5,0,14,0.994392
1,Base5,0,15,0.994392
1,Base5,0,16,0.994392
1,Base5,0,17,0.994392
1,Base5,0,18,0.994392
1,Base5,0,19,0.994392
1,Base5,0,20,0.994392
1,Base5,0,21,0.994392
1,Base5,0,22,0.994392
1,Base5,0,23,0.994392
1,Base5,0,24,0.994392
1,Base5,0,25,0.994392
1,Base5,0,26,0.994392
1,Base5,0,27,0.994392
1,Base5,0,28,0.994392
1,Base5,0,29,0.619548
1,Base5,0,30,0.619548
1,Base5,0,31,0.619548
1,Base5,0,32,0.619548
1,Base5,0,33,0.619548
1,Base5,0,34,0.619548
1,Base5,0,35,0.619548
1,Base5,0,36,0.619548
1,Base5,0,37,0.619548
1,Base5,0,38,0.619548
1,Base5,0,39,0.619548
1,Base5,0,40,0.619548
1,Base5,0,41,0.619548
1,Base5,0,42,0.619548
1,Base5,0,43,0.619548
1,Base5,0,44,0.619548
1,Base5,0,45,0.619548
1,Base5,0,46,0.619548
1,Base5,0,47,0.619548
1,Base5,0,48,0.619548
1,Base5,0,49,0.619548
1,Base5,0,50,0.619548
1,Base5,0,51,0.619548
1,Base5,0,52,0.619548
1,Base5,0,53,0.619548
1,Base5,0,54,0.619548
1,Base5,0,55,0.619548
1,Base5,0,56,0.619548
1,Base5,0,57,0.619548
1,Base5,0,58,0.619548
1,Base5,0,59,0.619548
1,Base5,0,60,0.619548
1,Base5,0,61,0.619548
1,Base5,0,62,0.619548
1,Base5,0,63,0.619548
1,Base5,0,64,0.619548
1,Base5,0,65,0.619548
1,Base5,0,66,0.619548
1,Base5,0,67,0.619548
1,Base5,0,68,0.619548
1,Base5,0,69,0.619548
1,Base5,0,70,0.619548
1,Base5,0,71,0.619548
1,Base5,0,72,0.661524
1,Base5,0,73,0.661524
1,Base5,0,74,0.661524
1,Base5,0,75,0.661524
1,Base5,0,76,0.661524
1,Base5,0,77,0.661524
1,Base5,0,78,0.661524
1,Base5,0,79,0.661524
1,Base5,0,80,0.661524
1,Base5,0,81,0.661524
1,Base5,0,82,0.542440
1,Base5,0,83,0.542440
1,Base5,0,84,0.542440
1,Base5,0,85,0.542440
1,Base5,0,86,0.542440
1,Base5,0,87,0.542440
1,Base5,0,88,0.542440
1,Base5,0,89,0.542440
1,Base5,0,90,0.542440
1,Base5,0,91,0.542440
1,Base5,0,92,0.542440
1,Base5,0,93,0.542440
1,Base5,0,94,0.542440
1,Base5,0,95,0.542440
1,Base5,0,96,0.542440
1,Base5,0,97,0.542440
1,Base5,0,98,0.542440
1,Base5,0,99,0.574242
1,Base5,0,100,0.551168
1,Base5,0,101,0.551168
1,Base5,0,102,0.551168
1,Base5,0,103,0.615436
1,Base5,0,104,0.615436
1,Base5,0,105,0.615436
1,Base5,0,106,0.615436
1,Base5,0,107,0.615436
1,Base5,0,108,0.615436
1,Base5,0,109,0.615436
1,Base5,0,110,0.615436
1,Base5,0,111,0.615436
1,Base5,0,112,0.615436
1,Base5,0,113,0.615436
1,Base5,0,114,0.615436
1,Base5,0,115,0.615436
1,Base5,0,116,0.733655
1,Base5,0,117,0.733655
1,Base5,0,118,0.848476
1,Base5,0,119,0.875606
1,Base5,0,120,0.875606
1,Base5,0,121,1.326787
1,Base5,0,122,1.326787
1,Base5,0,123,1.865137
1,Base5,0,124,1.905914
1,Base5,0,125,1.741325
1,Base5,0,126,1.741325
1,Base5,0,127,1.741325
1,Base5,0,128,1.716360
1,Base5,0,129,1.644671
1,Base5,0,130,3.239318
1,Base5,0,131,5.833182
1,Base5,0,132,5.833182
1,Base5,0,133,9.165874
1,Base5,0,134,8.314597
1,Base5,0,135,8.314597
1,Base5,0,136,11.230738
1,Base5,0,137,13.284122
1,Base5,0,138,13.284122
1,Base5,0,139,13.284122
1,Base5,0,140,14.004998
1,Base5,0,141,14.004998
1,Base5,0,142,12.401408
1,Base5,0,143,12.401408
1,Base5,0,144,12.401408
1,Base5,0,145,12.401408
1,Base5,0,146,12.401408
1,Base5,0,147,12.401408
1,Base5,0,148,12.401408
1,Base5,0,149,12.401408
1,Base5,0,150,12.401408
1,Base5,0,151,12.401408
1,Base5,0,152,12.401408
1,Base5,0,153,12.401408
1,Base5,0,154,12.401408
1,Base5,0,155,12.401408
1,Base5,0,156,12.401408
1,Base5,0,157,12.401408
1,Base5,0,158,12.401408
1,Base5,0,159,12.401408
1,Base5,0,160,12.401408
1,Base5,0,161,12.401408
1,Base5,0,162,12.401408
1,Base5,0,163,10.640943
1,Base5,0,164,10.640943
1,Base5,0,165,10.640943
1,Base5,0,166,10.640943
1,Base5,0,167,10.640943
1,Base5,0,168,10.640943
1,Base5,0,169,10.640943
1,Base5,0,170,10.640943
1,Base5,0,171,10.640943
1,Base5,0,172,10.784644
1,Base5,0,173,10.784644
1,Base5,0,174,10.784644
1,Base5,0,175,10.784644
1,Base5,0,176,10.784644
1,Base5,0,177,9.880295
1,Base5,0,178,9.880295
1,Base5,0,179,9.880295
1,Base5,0,180,9.880295
1,Base5,0,181,9.880295
1,Base5,0,182,9.880295
1,Base5,0,183,9.880295
1,Base5,0,184,9.880295
1,Base5,0,185,9.548825
1,Base5,0,186,9.548825
1,Base5,0,187,9.548825
1,Base5,0,188,9.548825
1,Base5,0,189,9.548825
1,Base5,0,190,9.548825
1,Base5,0,191,9.548825
1,Base5,0,192,9.548825
1,Base5,0,193,9.548825
1,Base5,0,194,9.548825
