vl,global_pass,global_total,pass_rate,avg_sharpe,avg_ret,avg_dd,total_trades,avg_win_rate
1,54,54,100.00,4.0004,231.03,41.55,1535,50.11
2,54,54,100.00,3.8929,207.28,40.86,1463,50.12
3,54,54,100.00,3.8331,174.79,40.70,1413,50.23
5,54,54,100.00,3.5010,137.79,41.19,1368,49.91
7,54,54,100.00,2.9620,119.34,42.05,1327,49.27
10,54,54,100.00,2.9533,111.49,41.69,1280,48.86
15,54,54,100.00,2.6421,124.40,43.32,1250,48.31
20,54,54,100.00,2.6616,103.56,42.00,1220,48.38
25,54,54,100.00,3.1043,112.33,40.10,1208,49.05
30,54,54,100.00,3.3403,116.47,39.69,1198,49.04
40,54,54,100.00,3.5999,137.42,39.74,1216,49.41
55,54,54,100.00,3.6820,131.48,39.13,1215,49.69
75,54,54,100.00,3.9056,135.24,39.15,1201,50.34
100,54,54,100.00,3.7702,156.14,38.97,1215,50.59
